,UniqueSurveyID,Date,Time,Latitude,Longitude,State,Habitat,Entomofauna,OtherInvertebrate,Vertebrate
63,49307,16-04-2017,03:00:56,25.1101,90.702,Meghalaya,Terrestrial_Grassland,Yes,No,No
64,56880,15-07-2017,17:36:47,25.9985,73.1949,Rajasthan,Aquatic_Marine,No,No,No
65,73668,03-08-2016,18:11:21,9.6952,72.5055,Lakshadweep,Terrestrial_Horticulture,No,Yes,No
66,61153,01-10-2019,21:20:50,25.1477,93.7763,Manipur,Terrestrial_Grassland,Yes,No,Yes
67,50790,15-07-2015,16:20:24,20.4743,72.752,Daman and Diu,Aquatic_Marine,Yes,Yes,Yes
68,26049,14-05-2016,00:28:29,30.4711,80.9093,Uttaranchal,Terrestrial_Forest_Outside_PA,Yes,Yes,No
69,6248,08-04-2016,19:00:21,19.4013,73.3707,Maharashtra,Terrestrial_Horticulture,Yes,Yes,No
70,99958,27-04-2018,07:09:53,9.9287,76.1053,Kerala,Aquatic_Marine,Yes,Yes,No
71,8608,11-02-2019,11:18:44,27.4599,95.7631,Arunachal Pradesh,Terrestrial_Shurb,No,Yes,No
72,73832,28-04-2019,15:59:24,24.8238,87.4029,West Bengal,Terrestrial_Horticulture,No,Yes,Yes
73,1698,22-01-2018,21:37:14,12.6481,74.7737,Karnataka,Aquatic_Marine,Yes,No,Yes
74,42190,07-05-2017,01:54:38,20.4628,72.9101,Gujarat,Terrestrial_Human_Habitation,Yes,Yes,Yes
75,3130,20-09-2016,05:35:04,22.3578,84.4813,Jharkhand,Aquatic_Marine,Yes,No,No
76,52558,01-12-2017,06:07:08,12.941,75.567,Karnataka,Terrestrial_Forest_PA,No,No,No
77,73443,04-04-2016,00:11:23,30.708,80.7726,Uttaranchal,Aquatic_Estuarine,No,Yes,Yes
78,99119,27-07-2018,12:29:06,29.8841,75.2046,Punjab,Aquatic_Marine,Yes,Yes,No
79,44289,30-04-2016,19:36:37,10.8363,77.103,Kerala,Aquatic_Freshwater,No,Yes,Yes
80,18601,09-02-2020,22:42:24,26.6854,86.5557,West Bengal,Aquatic_Freshwater,No,Yes,Yes
81,75385,23-02-2017,09:16:03,25.2996,94.527,Manipur,Terrestrial_Forest_PA,No,Yes,Yes
82,65669,05-08-2019,12:35:50,12.915,93.5975,Andaman and Nicobar,Aquatic_Estuarine,Yes,No,Yes
83,34293,17-08-2015,02:59:49,23.3297,91.5512,Tripura,Terrestrial_Shurb,No,Yes,No
84,66123,24-08-2017,16:48:11,27.1546,88.2529,Sikkim,Terrestrial_Agriculture,No,Yes,Yes
85,76295,05-11-2018,02:20:53,23.4442,86.0256,West Bengal,Aquatic_Estuarine,Yes,Yes,Yes
86,64923,24-06-2019,02:34:44,23.4527,71.319,Gujarat,Aquatic_Estuarine,Yes,No,Yes
87,51003,11-11-2017,22:35:21,22.5523,89.7801,West Bengal,Aquatic_Marine,No,Yes,Yes
88,15762,06-04-2016,09:35:57,26.05,91.295,Meghalaya,Terrestrial_Human_Habitation,No,Yes,Yes
89,5713,11-11-2015,00:06:53,30.6329,74.2762,Punjab,Aquatic_Marine,Yes,Yes,Yes
90,14826,11-01-2017,18:37:17,27.8366,96.3877,Arunachal Pradesh,Terrestrial_Forest_PA,No,No,Yes
91,73091,29-07-2016,03:13:27,30.7624,76.7632,Chandigarh,Terrestrial_Forest_Outside_PA,Yes,Yes,Yes
92,66960,25-06-2019,17:46:16,14.1473,76.708,Puducherry,Terrestrial_Horticulture,No,Yes,No
93,90001,05-03-2019,02:06:35,28.6434,75.694,Haryana,Terrestrial_Shurb,No,No,Yes
94,23650,02-07-2015,02:31:09,15.6288,73.8165,Goa,Aquatic_Estuarine,No,No,No
95,10826,23-01-2017,05:37:26,22.7986,92.9827,Mizoram,Terrestrial_Forest_PA,Yes,No,No
96,15188,12-11-2017,13:57:31,23.0945,87.5564,West Bengal,Aquatic_Marine,No,Yes,No
97,90133,29-11-2017,15:45:42,27.0055,96.926,Arunachal Pradesh,Terrestrial_Forest_PA,Yes,Yes,Yes
98,38956,15-06-2017,02:16:01,25.3779,90.4863,Assam,Aquatic_Marine,No,No,Yes
99,76272,26-04-2015,22:05:18,24.6312,87.3556,Jharkhand,Terrestrial_Grassland,No,Yes,No
100,60746,10-11-2018,01:49:59,16.8993,74.7972,Karnataka,Terrestrial_Horticulture,Yes,No,Yes
101,20693,10-08-2019,23:12:05,10.2832,72.3645,Lakshadweep,Terrestrial_Forest_PA,No,Yes,Yes
102,1404,04-02-2016,01:44:37,28.0266,93.6584,Arunachal Pradesh,Aquatic_Marine,Yes,Yes,Yes
103,52473,11-04-2016,07:40:23,11.437,72.8292,Lakshadweep,Terrestrial_Human_Habitation,No,No,No
104,87257,20-08-2017,03:13:53,30.4718,80.3308,Uttaranchal,Terrestrial_Horticulture,Yes,No,Yes
105,66313,24-12-2017,00:32:18,12.6375,77.9145,Tamil Nadu,Aquatic_Marine,No,Yes,Yes
106,86596,08-11-2017,13:55:05,27.6803,88.3991,Sikkim,Terrestrial_Forest_PA,Yes,Yes,Yes
107,39524,24-03-2018,07:24:06,26.177,93.9265,Assam,Aquatic_Marine,No,No,Yes
108,8961,23-02-2015,13:11:01,19.9094,78.0601,Telangana,Aquatic_Marine,No,Yes,Yes
109,52666,16-03-2016,10:15:55,21.1023,78.3305,Maharashtra,Terrestrial_Agriculture,Yes,Yes,No
110,78293,06-01-2019,05:38:17,9.1546,73.686,Lakshadweep,Aquatic_Marine,Yes,Yes,No
111,13628,23-11-2016,00:21:36,26.403,92.5778,Assam,Terrestrial_Grassland,Yes,No,Yes
112,13764,15-06-2015,23:58:31,30.3637,80.5396,Uttar Pradesh,Terrestrial_Grassland,No,Yes,No
113,49809,24-09-2019,20:27:05,28.0039,88.1613,Sikkim,Aquatic_Freshwater,No,No,No
114,39039,05-09-2019,19:05:11,24.7372,85.2942,Bihar,Terrestrial_Agriculture,No,No,No
115,96331,01-12-2015,06:34:03,29.4491,74.6614,Haryana,Terrestrial_Agriculture,No,Yes,Yes
116,56164,15-01-2020,20:28:21,30.7166,76.7332,Chandigarh,Terrestrial_Horticulture,Yes,Yes,No
117,35779,20-01-2020,10:29:15,18.6425,76.744,Maharashtra,Aquatic_Freshwater,No,Yes,Yes
118,8659,30-08-2018,18:40:31,24.7126,81.977,Madhya Pradesh,Terrestrial_Horticulture,No,No,Yes
119,29898,07-02-2019,08:22:41,26.2373,84.1836,Bihar,Aquatic_Marine,No,Yes,No
120,23804,23-12-2018,03:07:09,21.1265,81.24,Chhattisgarh,Terrestrial_Human_Habitation,Yes,Yes,No
121,87477,30-09-2019,07:31:25,13.9835,74.8693,Karnataka,Aquatic_Marine,No,Yes,No
122,57932,07-01-2020,23:24:29,10.9277,94.2099,Andaman and Nicobar,Terrestrial_Forest_PA,Yes,Yes,Yes
123,31549,08-07-2018,22:10:13,25.2528,92.6595,Meghalaya,Aquatic_Freshwater,No,No,Yes
124,89474,21-12-2015,02:36:24,32.6668,77.5314,Himachal Pradesh,Aquatic_Estuarine,Yes,No,Yes
125,50620,31-01-2020,00:26:30,25.7446,88.7625,West Bengal,Terrestrial_Human_Habitation,Yes,No,Yes
126,55922,21-02-2018,16:36:30,20.208,73.0477,Dadra and Nagar Haveli,Terrestrial_Shurb,No,Yes,No
127,30437,23-01-2020,04:44:05,28.8358,77.3091,Delhi,Terrestrial_Shurb,Yes,Yes,Yes
128,46232,29-07-2015,06:55:16,28.5974,77.1707,Delhi,Terrestrial_Horticulture,Yes,No,Yes
129,72751,07-06-2019,13:14:46,25.5614,90.3316,Meghalaya,Terrestrial_Grassland,No,Yes,Yes
130,50537,04-01-2015,00:41:50,33.9617,77.7715,Jammu and Kashmir,Terrestrial_Agriculture,No,No,No
131,67985,29-05-2018,20:12:30,13.8634,80.0034,Puducherry,Terrestrial_Shurb,No,Yes,Yes
132,38548,02-11-2018,22:47:19,20.1983,72.9493,Dadra and Nagar Haveli,Terrestrial_Forest_PA,Yes,Yes,Yes
133,95047,08-08-2016,15:31:35,25.073,87.6408,West Bengal,Terrestrial_Forest_PA,Yes,No,No
134,78040,24-07-2015,16:15:44,28.5162,96.4827,Arunachal Pradesh,Aquatic_Freshwater,No,No,No
135,51586,14-09-2015,18:06:44,14.0384,78.3624,Karnataka,Terrestrial_Shurb,No,No,No
136,1588,22-12-2017,18:12:39,21.575,68.7434,Gujarat,Aquatic_Freshwater,Yes,No,Yes
137,33310,18-08-2018,05:45:23,24.6014,75.7374,Rajasthan,Terrestrial_Shurb,No,Yes,Yes
138,54368,25-05-2016,23:47:55,35.3166,76.8506,Jammu and Kashmir,Terrestrial_Forest_PA,Yes,Yes,Yes
139,57905,30-07-2015,05:55:03,25.7032,91.7298,Meghalaya,Terrestrial_Forest_Outside_PA,No,Yes,Yes
140,41786,07-07-2015,17:41:06,23.133,91.173,Tripura,Aquatic_Marine,Yes,Yes,Yes
141,28688,02-11-2016,01:57:33,15.4389,74.2455,Goa,Aquatic_Freshwater,Yes,Yes,No
142,20817,09-12-2017,02:01:57,20.0782,73.0178,Dadra and Nagar Haveli,Terrestrial_Forest_PA,Yes,No,Yes
143,87279,18-03-2015,02:15:22,20.1857,72.9275,Dadra and Nagar Haveli,Aquatic_Freshwater,Yes,No,Yes
144,16569,05-08-2016,23:10:15,18.8508,85.6753,Orissa,Terrestrial_Grassland,Yes,No,Yes
145,38750,14-12-2015,03:32:30,23.0795,72.1339,Gujarat,Terrestrial_Human_Habitation,No,No,No
146,42155,11-03-2015,12:45:24,34.0939,74.2958,Jammu and Kashmir,Terrestrial_Horticulture,Yes,Yes,Yes
147,62477,02-04-2018,14:19:52,24.0184,92.9979,Manipur,Terrestrial_Grassland,Yes,Yes,No
148,91226,07-02-2017,16:35:31,33.1544,75.5684,Jammu and Kashmir,Terrestrial_Horticulture,No,No,No
149,20916,28-08-2019,06:39:54,22.4708,68.6427,Gujarat,Aquatic_Estuarine,Yes,No,No
150,79269,29-05-2016,10:55:06,27.1995,88.6206,Sikkim,Terrestrial_Horticulture,No,No,Yes
151,8013,09-10-2015,05:47:41,28.7856,77.0663,Delhi,Terrestrial_Agriculture,Yes,Yes,No
152,291,04-07-2016,20:15:50,28.0687,72.558,Rajasthan,Terrestrial_Grassland,Yes,No,Yes
153,26508,24-10-2019,00:32:45,10.1986,92.5406,Andaman and Nicobar,Aquatic_Freshwater,No,Yes,Yes
154,97079,02-05-2015,10:20:38,15.9004,75.9699,Maharashtra,Terrestrial_Horticulture,Yes,No,Yes
155,72161,09-12-2015,23:37:59,20.4508,80.2593,Maharashtra,Terrestrial_Shurb,Yes,No,Yes
156,52377,28-03-2017,19:22:02,30.6606,77.7312,Uttaranchal,Terrestrial_Forest_PA,Yes,Yes,No
157,68966,15-08-2017,09:46:54,24.9563,93.5601,Manipur,Terrestrial_Horticulture,No,Yes,Yes
158,18897,09-04-2018,19:57:02,13.027,81.2662,Andhra Pradesh,Terrestrial_Human_Habitation,No,No,No
159,42068,10-04-2017,18:13:36,29.9236,79.4673,Uttaranchal,Aquatic_Estuarine,Yes,Yes,Yes
160,11847,10-02-2019,14:35:50,16.0798,76.9939,Maharashtra,Terrestrial_Forest_PA,Yes,Yes,No
161,35906,15-01-2017,12:52:10,20.2624,73.0816,Dadra and Nagar Haveli,Terrestrial_Horticulture,Yes,No,No
162,86405,13-09-2017,11:51:57,20.4483,71.745,Gujarat,Aquatic_Estuarine,Yes,Yes,Yes
163,66738,09-09-2017,02:18:12,32.7736,78.4715,Himachal Pradesh,Terrestrial_Horticulture,No,Yes,No
164,82499,02-05-2017,11:04:15,27.811,88.6545,Sikkim,Aquatic_Marine,Yes,No,No
165,24077,04-06-2019,01:43:11,30.7496,76.7339,Chandigarh,Terrestrial_Forest_Outside_PA,No,Yes,Yes
166,49616,15-05-2016,05:33:34,29.7743,77.7001,Uttar Pradesh,Terrestrial_Grassland,No,Yes,Yes
167,24249,04-11-2015,23:48:35,24.4691,91.5462,Tripura,Terrestrial_Agriculture,No,Yes,Yes
168,72624,28-09-2016,19:19:50,22.4646,86.452,Orissa,Aquatic_Marine,No,Yes,No
169,66296,08-09-2015,17:54:58,20.8583,71.0874,Daman and Diu,Terrestrial_Agriculture,Yes,No,Yes
170,72881,26-06-2016,22:08:40,20.2406,73.2269,Dadra and Nagar Haveli,Terrestrial_Human_Habitation,Yes,Yes,No
171,82839,17-04-2018,12:19:37,17.608,76.6467,Karnataka,Terrestrial_Horticulture,No,No,Yes
172,77918,30-04-2017,07:08:07,28.0526,91.6021,Arunachal Pradesh,Aquatic_Freshwater,No,No,Yes
173,10711,30-10-2019,09:26:22,29.6194,75.7805,Rajasthan,Terrestrial_Forest_Outside_PA,No,Yes,Yes
174,56227,11-11-2017,16:19:28,28.771,76.8493,Delhi,Terrestrial_Shurb,No,No,No
175,94280,02-12-2017,12:37:37,23.9798,93.3742,Mizoram,Terrestrial_Forest_PA,Yes,Yes,No
176,91966,26-06-2016,21:07:20,27.6748,85.1936,Bihar,Terrestrial_Forest_PA,No,Yes,Yes
177,31983,28-04-2018,19:12:31,31.9668,77.0013,Himachal Pradesh,Terrestrial_Agriculture,No,Yes,Yes
178,4088,10-03-2018,00:17:47,17.6871,75.1268,Karnataka,Terrestrial_Forest_Outside_PA,Yes,No,Yes
179,37320,01-09-2018,21:24:35,20.1056,73.0606,Dadra and Nagar Haveli,Terrestrial_Human_Habitation,No,No,Yes
180,60764,21-02-2019,20:23:37,18.7746,75.5206,Maharashtra,Terrestrial_Forest_Outside_PA,Yes,Yes,No
181,9268,02-07-2016,15:18:47,33.0537,75.6294,Himachal Pradesh,Terrestrial_Forest_Outside_PA,Yes,No,No
182,38207,22-01-2016,09:52:28,26.0945,91.0152,Meghalaya,Terrestrial_Forest_Outside_PA,No,No,No
183,23269,09-04-2017,04:55:33,34.757,75.0281,Jammu and Kashmir,Aquatic_Estuarine,No,No,No
184,48066,07-01-2018,07:13:49,9.3892,76.7947,Tamil Nadu,Terrestrial_Forest_PA,Yes,No,Yes
185,57437,19-02-2018,19:06:41,26.0925,90.8535,Meghalaya,Aquatic_Freshwater,Yes,Yes,No
186,7753,04-05-2016,07:43:20,15.4579,79.2761,Puducherry,Terrestrial_Grassland,No,No,Yes
187,54421,19-07-2017,22:40:47,20.4539,72.3425,Daman and Diu,Terrestrial_Forest_PA,No,Yes,No
188,39246,06-07-2018,16:29:19,22.3798,87.586,West Bengal,Terrestrial_Agriculture,No,Yes,No
189,5067,15-01-2018,10:54:09,20.7685,72.2708,Daman and Diu,Terrestrial_Human_Habitation,Yes,No,No
190,80183,19-01-2020,23:23:39,11.3138,76.0666,Kerala,Terrestrial_Shurb,Yes,Yes,No
191,61050,18-11-2015,04:11:41,31.9949,75.6999,Himachal Pradesh,Aquatic_Freshwater,No,No,Yes
192,14492,25-10-2015,12:37:00,30.3301,83.4514,Uttar Pradesh,Terrestrial_Forest_PA,No,Yes,Yes
193,95410,15-05-2016,10:52:58,28.0954,88.6287,Sikkim,Terrestrial_Human_Habitation,Yes,No,Yes
194,25608,26-11-2017,05:37:46,21.9482,82.2687,Orissa,Terrestrial_Horticulture,Yes,No,No
195,5613,31-10-2016,01:29:11,25.0681,91.1363,Meghalaya,Terrestrial_Forest_Outside_PA,Yes,No,Yes
196,50297,27-10-2019,21:31:06,31.3404,76.8883,Punjab,Aquatic_Marine,No,Yes,No
197,41070,22-04-2019,14:14:46,20.3265,73.1144,Dadra and Nagar Haveli,Aquatic_Marine,Yes,No,No
198,19623,07-11-2015,10:41:07,15.8548,82.679,Andhra Pradesh,Terrestrial_Human_Habitation,No,No,Yes
199,75077,20-08-2015,09:11:59,13.77,81.8855,Andhra Pradesh,Terrestrial_Forest_Outside_PA,Yes,Yes,No
200,84606,17-01-2019,13:23:34,9.9386,74.954,Kerala,Terrestrial_Forest_PA,No,No,Yes
201,40351,31-12-2018,18:45:07,26.4818,71.0509,Rajasthan,Terrestrial_Shurb,Yes,No,Yes
202,14963,16-07-2019,01:34:13,25.0439,87.6716,West Bengal,Aquatic_Estuarine,Yes,Yes,No
203,32459,03-01-2018,08:15:25,20.0761,72.9964,Dadra and Nagar Haveli,Terrestrial_Human_Habitation,Yes,Yes,Yes
204,1398,30-06-2016,12:31:20,32.867,76.765,Jammu and Kashmir,Aquatic_Estuarine,No,Yes,Yes
205,83314,19-08-2018,14:41:01,16.7079,82.844,Andhra Pradesh,Aquatic_Marine,Yes,Yes,Yes
206,10773,13-09-2019,09:02:15,24.3222,91.2393,Assam,Terrestrial_Forest_Outside_PA,Yes,No,Yes
207,36610,31-05-2015,11:05:20,19.7397,81.5602,Orissa,Terrestrial_Forest_Outside_PA,Yes,No,Yes
208,53318,21-07-2015,20:40:50,28.5992,84.5488,Uttar Pradesh,Terrestrial_Grassland,No,No,No
209,68214,13-07-2015,13:08:54,15.8359,76.7932,Andhra Pradesh,Terrestrial_Forest_Outside_PA,No,No,No
210,77037,03-06-2016,16:11:09,28.7973,76.8448,Delhi,Aquatic_Marine,No,No,No
211,44559,13-10-2018,18:21:56,28.5466,77.1881,Delhi,Aquatic_Estuarine,No,No,No
212,40327,19-07-2017,16:38:58,11.3319,75.6737,Kerala,Terrestrial_Shurb,Yes,Yes,Yes
213,58923,27-03-2017,23:11:27,25.2845,71.4699,Rajasthan,Terrestrial_Forest_Outside_PA,Yes,Yes,Yes
214,826,20-12-2016,17:15:15,29.4403,81.0642,Uttar Pradesh,Terrestrial_Forest_Outside_PA,No,Yes,No
215,43221,08-06-2016,00:09:44,8.5884,76.391,Kerala,Terrestrial_Horticulture,Yes,No,No
216,18691,30-06-2016,05:20:45,22.6401,81.1999,Madhya Pradesh,Aquatic_Freshwater,No,No,Yes
217,34530,13-09-2018,03:08:53,20.6871,80.4674,Maharashtra,Terrestrial_Human_Habitation,No,No,No
218,29380,03-12-2019,01:03:50,26.6716,84.3098,Bihar,Terrestrial_Agriculture,Yes,Yes,No
219,49911,17-04-2019,21:40:40,28.286,76.1702,Haryana,Terrestrial_Forest_Outside_PA,No,Yes,Yes
220,11509,28-10-2019,22:00:53,31.4816,77.65,Himachal Pradesh,Terrestrial_Forest_PA,No,Yes,Yes
221,64091,18-07-2019,15:36:12,20.0662,72.9505,Dadra and Nagar Haveli,Terrestrial_Forest_Outside_PA,Yes,No,Yes
222,84535,25-04-2015,02:33:54,28.7142,76.8402,Delhi,Terrestrial_Shurb,No,No,No
223,55650,28-10-2019,12:32:37,18.0203,83.359,Andhra Pradesh,Terrestrial_Grassland,Yes,No,Yes
224,62589,23-09-2016,17:03:31,26.1138,90.5987,Meghalaya,Aquatic_Estuarine,No,No,No
225,23411,19-12-2015,00:38:38,20.3355,84.5456,Orissa,Terrestrial_Forest_PA,No,Yes,Yes
226,51331,27-05-2018,02:48:27,20.1937,81.3588,Chhattisgarh,Terrestrial_Horticulture,No,Yes,Yes
227,35497,05-07-2015,06:53:15,10.1051,93.4218,Andaman and Nicobar,Terrestrial_Forest_Outside_PA,Yes,Yes,Yes
228,91527,08-03-2019,04:58:19,23.5976,92.1601,Tripura,Terrestrial_Agriculture,No,Yes,No
229,96229,05-12-2017,05:32:59,21.3735,79.7474,Maharashtra,Terrestrial_Agriculture,No,Yes,No
230,84611,11-07-2015,02:28:06,25.3795,88.1755,Bihar,Terrestrial_Human_Habitation,Yes,No,Yes
231,83902,20-09-2016,10:02:53,20.1761,73.1245,Dadra and Nagar Haveli,Terrestrial_Shurb,Yes,Yes,No
232,5742,16-04-2017,13:05:08,32.5692,77.4822,Himachal Pradesh,Terrestrial_Grassland,No,Yes,No
233,3396,05-01-2016,11:56:00,24.2407,71.6606,Gujarat,Terrestrial_Agriculture,No,No,No
234,31778,18-09-2016,23:41:02,9.052,75.193,Kerala,Terrestrial_Forest_Outside_PA,Yes,No,Yes
235,96544,18-12-2018,09:58:17,29.5528,76.5109,Punjab,Terrestrial_Forest_Outside_PA,No,No,Yes
236,13874,13-10-2015,23:26:11,28.7639,92.1177,Arunachal Pradesh,Aquatic_Freshwater,Yes,Yes,Yes
237,12706,29-12-2018,19:35:58,35.4239,76.2873,Jammu and Kashmir,Terrestrial_Agriculture,Yes,Yes,No
238,31010,04-03-2017,12:36:03,26.5157,93.4978,Nagaland,Terrestrial_Horticulture,No,Yes,Yes
239,21135,20-05-2018,06:19:00,29.3716,96.9881,Arunachal Pradesh,Aquatic_Estuarine,Yes,Yes,No
240,50944,19-03-2017,09:10:51,15.6129,78.4964,Karnataka,Terrestrial_Agriculture,No,No,Yes
